                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4028,                0.91505,                 0.9336,                0.94007,                0.84814,                0.88663,                0.47085,                 1.4797,                 1.0663,                0.95087,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.4869,                0.98046,                0.94549,                0.90631,                0.89189,                0.90202,                 0.4761,                 1.4779,                 1.0305,                0.97286,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3759,                0.89824,                0.92664,                 0.8617,                0.86486,                0.88828,                0.45664,                 1.5049,                 1.0329,                0.96988,               0.001307,               0.001307,               0.001307
                     38,                 1.5147,                0.94199,                0.96141,                0.87252,                0.81081,                0.87214,                0.47867,                 1.5151,                 1.0998,                0.98038,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.4119,                0.91289,                0.94119,                      1,                0.75247,                0.88273,                0.45285,                 1.5209,                 1.1211,                0.96074,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.3866,                0.91634,                0.93984,                0.94003,                0.86486,                0.91965,                0.51289,                 1.4201,                0.94457,                0.97886,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.3907,                0.88205,                0.94045,                0.94776,                0.81081,                 0.9132,                0.50283,                 1.4323,                0.96353,                0.94105,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.3178,                0.87829,                0.92144,                0.91843,                0.83784,                0.91443,                0.48512,                 1.3948,                0.93781,                0.94383,               0.001208,               0.001208,               0.001208
                     43,                 1.3409,                0.82116,                0.91102,                0.93986,                0.84489,                0.92102,                0.53348,                 1.4055,                0.91133,                0.94182,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.3333,                  0.801,                0.89951,                0.89256,                0.89189,                0.93204,                0.49125,                 1.4282,                0.91677,                0.92427,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.3316,                0.82627,                0.92037,                0.94265,                0.88852,                0.93686,                0.54305,                 1.3717,                 0.8739,                 0.9324,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.4031,                0.85062,                0.93859,                0.98881,                0.89189,                0.93906,                0.55475,                 1.4181,                 0.8877,                0.95462,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.3158,                0.79627,                0.90072,                      1,                0.87071,                0.94181,                0.49835,                 1.4675,                0.86769,                0.95887,               0.001109,               0.001109,               0.001109
                     48,                 1.2926,                0.81812,                0.90245,                0.92494,                0.86486,                0.89705,                0.52457,                 1.3923,                0.82606,                0.92789,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.2692,                0.78667,                0.88752,                0.89493,                0.89189,                 0.9353,                0.56011,                 1.3513,                0.88216,                0.91724,              0.0010694,              0.0010694,              0.0010694
                     50,                  1.249,                0.75438,                0.89209,                0.87682,                0.89189,                0.92552,                0.54772,                 1.4012,                0.89142,                0.93274,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.3222,                0.81228,                0.95089,                0.91359,                 0.8574,                0.91981,                0.53866,                 1.3286,                0.88148,                0.92308,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.3042,                0.75612,                0.89527,                0.95629,                0.75676,                0.89677,                0.52534,                 1.3363,                 1.0777,                0.93764,                0.00101,                0.00101,                0.00101
                     53,                 1.2764,                0.80455,                0.91754,                0.91328,                0.85413,                0.91061,                0.51007,                 1.4146,                 1.0399,                0.91542,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.2513,                0.74157,                0.89543,                 0.8443,                0.89189,                0.91132,                0.54011,                 1.3548,                 1.0323,                0.91896,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.3268,                0.77093,                0.93662,                0.88793,                0.85668,                0.89511,                  0.524,                 1.3823,                0.99835,                0.91548,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.2363,                0.75508,                0.89606,                0.92051,                0.81081,                 0.9164,                0.50379,                 1.3642,                0.97291,                0.90961,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.1963,                0.71579,                0.89998,                 0.9676,                0.80722,                  0.907,                0.48423,                 1.3659,                 1.0632,                0.93093,               0.000911,               0.000911,               0.000911
                     58,                 1.2006,                0.72344,                0.87301,                0.96653,                 0.7805,                0.86242,                0.51103,                 1.3115,                  1.191,                 0.9295,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.1801,                0.71297,                0.88185,                0.95891,                0.75676,                0.83862,                0.50674,                 1.3708,                 1.2469,                0.96503,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.1911,                0.70955,                0.88003,                0.96651,                0.78019,                 0.8493,                0.49011,                 1.3754,                  1.188,                0.97727,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.1911,                0.69437,                0.86707,                 0.9596,                0.78378,                  0.842,                0.50057,                 1.3031,                 1.2186,                0.95886,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.1935,                0.74365,                0.86973,                0.94477,                0.75676,                0.84964,                0.48342,                 1.3111,                 1.1912,                0.94697,               0.000812,               0.000812,               0.000812
                     63,                 1.1809,                0.72152,                0.87476,                 0.9577,                0.78378,                0.86427,                0.51451,                 1.2695,                 1.0645,                0.93698,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.1703,                0.71068,                0.89587,                0.91056,                0.83784,                0.86299,                0.49022,                 1.3307,                 1.0945,                0.94292,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.1425,                0.66948,                 0.8846,                0.93782,                 0.8154,                0.86403,                0.50011,                 1.3474,                  1.093,                0.94679,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.1724,                0.67445,                0.88115,                0.98534,                0.83784,                0.87766,                0.54918,                 1.2161,                 1.0286,                0.93629,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.1434,                0.66835,                0.89497,                0.97926,                0.83784,                0.87502,                0.56014,                 1.2039,                 1.0123,                0.93567,               0.000713,               0.000713,               0.000713
                     68,                 1.1825,                0.68687,                0.89286,                      1,                0.78121,                0.87531,                0.54785,                   1.24,                0.98866,                 0.9275,              0.0006932,              0.0006932,              0.0006932
                     69,                  1.116,                0.70553,                 0.9118,                0.93885,                0.83011,                0.88401,                0.51757,                 1.3035,                 1.0966,                0.92862,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.1285,                0.67021,                0.89266,                0.94667,                0.78378,                0.88123,                0.52298,                  1.302,                 1.1101,                0.92837,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.1539,                0.68986,                0.91197,                0.95401,                0.78378,                0.88299,                0.54072,                 1.3015,                 1.1445,                 0.9423,              0.0006338,              0.0006338,              0.0006338
